ID_1,NAME_1,NAME_1_CHINESE
1,Anhui,安徽
2,Beijing,北京
3,Chongqing,重庆
4,Fujian,福建
5,Gansu,甘肃
6,Guangdong,广东
7,Guangxi,广西壮族自治区
8,Guizhou,贵州
9,Hainan,海南
10,Hebei,河北
11,Heilongjiang,黑龍江省
12,Henan,河南
13,Hubei,湖北
14,Hunan,湖南
15,Jiangsu,江苏
16,Jiangxi,江西
17,Jilin,吉林
18,Liaoning,辽宁
19,Nei Mongol,内蒙古自治区
20,Ningxia Hui,宁夏回族自治区
21,Qinghai,青海
22,Shaanxi,陕西
23,Shandong,山东
24,Shanghai,上海
25,Shanxi,山西
26,Sichuan,四川
27,Tianjin,天津
28,Xinjiang Uygur,新疆维吾尔自治区
29,Xizang,西藏自治区
30,Yunnan,云南
31,Zhejiang,浙江
