,NAME_3,price(million)
0,Abag,12737.271400000003
1,Abagnar Qi,5350.7734
2,Acheng,110490.71
3,Akqi,4824.9207000000015
4,Aksai Kazakh,4219.7375999999995
5,Aksu,67711.78229999999
6,Akto,14141.868199999999
7,Altay,43762.417499999996
8,Alxa Left,68549.71870000003
9,Alxa Right,12014.794700000004
10,An,195732.8241999999
11,Anda,48313.0045
12,Anfu,141231.8499000001
13,Anguo,137244.36
14,Anji,1496731.0351000007
15,Anju,185445.18940000003
16,Ankang,914333.8520999998
17,Anlong,83714.56669999995
18,Anlu,252242.69
19,Anning,709186.0983999999
20,Anping,214656.69189999995
21,Anqing,632917.2758999999
22,Anqiu,460915.55959999986
23,Ansai,37157.898499999996
24,Anshan,1744608.4692000006
25,Anshun,431854.0
26,Antu,110083.76490000004
27,Anxi,518184.02119999996
28,Anxin,61971.4
29,Anyang Shì,605769.4532
30,Anyang Xiàn,605769.4532
31,Anyi,253188.53999999998
32,Anyuan,151248.96979999993
33,Anze,14060.781500000001
34,Aohan,226028.87120000008
35,Ar Horqin,143064.53999999998
36,Artux,43161.33420000003
37,Arun,91554.84890000008
38,Awat,13572.782299999999
39,Ba,1800754.9176999996
40,Bachu,24282.413099999994
41,Badong,48207.034100000004
42,Baicheng,380398.6073999998
43,Baihe,6235.9395
44,Baiquan,20229.276200000004
45,Bairin Left,135264.3101
46,Bairin Right,33896.63039999998
47,Baise,320676.0179999998
48,Baisha Li,43223.9991
49,Baishui,72464.31360000001
50,Baixiang,51127.039499999984
51,Baiyü,398.5
52,Bama Yao,33677.9208
53,Bao'an,140236.99
54,Baode,108656.21500000001
55,Baodi,1025264.8108999999
56,Baoding,2120938.812599999
57,Baofeng,319199.5
58,Baokang,75687.06989999999
59,Baoqing,22391.391
60,Baoshan,18275.100400000007
61,Baoting Li,57105.249800000005
62,Baotou,1235191.2807000002
63,Baoxing,10500.554900000005
64,Baoying,921827.8102000003
65,Barkam,6415.923600000001
66,Batang,9057.0
67,Bayan,44807.053199999995
68,Bei'an,35098.29130000001
69,Beichen,546604.6921000001
70,Beichuan Qiang,46712.44850000005
71,Beihai,530770.3306999998
72,Beiliu,277249.89650000003
73,Beipiao,112095.7874
74,Beizhen,122705.41360000004
75,Bengbu,2242422.8043
76,Benxi,674709.4698000002
77,Benxi Manchu,148585.96150000006
78,Bijiang,8842.8436
79,Bijie,693082.6174
80,Bin,115209.66409999995
81,Binchuan,97763.9175
82,Binhai,692672.0048999997
83,Binyang,119530.8316000001
84,Biyang,730445.6392
85,Bo'ai,80606.56090000001
86,Bobai,194783.37660000005
87,Bohu,11210.9445
88,Bole,161267.14769999997
89,Boli,22532.1867
90,Boluo,473280.2789000003
91,Bordered Yellow,5542.6801
92,Boxian,2373167.3390000006
93,Boxing,200823.20950000006
94,Boyang,1630517.3745999997
95,Boye,36622.44980000001
96,Burqin,13684.7747
97,Butha Qi,92116.42
98,Butuo,163.9777
99,Cang,231402.2143
100,Cangnan,992753.407099999
101,Cangshan,409082.8598000001
102,Cangwu,110920.09599999998
103,Cangxi,215523.84379999997
104,Cangyuan Va,60605.8303
105,Cangzhou,1578939.474100001
106,Cao,364890.0
107,Ceheng,8152.163100000001
108,Cengong,111395.74960000001
109,Cenxi,162012.28739999994
110,Changbai Korean,5434.876699999998
111,Changchun,6532778.864900001
112,Changdao,28495.7997
113,Changfeng,1522244.6672999987
114,Changge,364681.4490000001
115,Changhai,6102.5
116,Changji,875129.7632999999
117,Changjiang Li,132061.4998
118,Changle,1529645.2620999992
119,Changli,451107.8489999999
120,Changling,52527.18970000003
